Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/12/2020 5:49:50 PM;3;(-0.4, 20.1, 0.1);(-0.04391358,0.625406,-0.03471362,-0.7782891);(1.7, 18.8, 2.4)
3/12/2020 5:49:56 PM;5;(-0.3, 20.1, 0.1);(-0.162473,-0.03869036,0.005975989,-0.9859361);(2.6, 20.8, -0.1)
3/12/2020 5:50:02 PM;1;(-0.2, 20.1, 0.1);(-0.05119285,-0.244788,-0.005194658,-0.9682103);(-3.3, 19.9, 0.7)
3/12/2020 5:50:08 PM;4;(-0.3, 20.1, 0.1);(-0.02438849,0.3344142,-7.019704E-05,-0.9421105);(2.1, 21.6, -0.9)
3/12/2020 5:50:13 PM;2;(-0.3, 20.1, 0.1);(-0.07033528,-0.2538391,0.01005477,-0.9646334);(-3.1, 20.8, 0.5)
3/12/2020 5:50:19 PM;5;(-0.3, 20.1, 0.1);(-0.04493636,-0.2341752,0.02540233,-0.9708231);(1.4, 21.2, -2.0)
3/12/2020 5:50:24 PM;3;(-0.3, 20.1, 0.1);(-0.05233803,-0.2615921,0.03773899,-0.9630192);(0.8, 17.7, 2.4)
3/12/2020 5:50:32 PM;3;(-0.3, 20.1, 0.1);(-0.06769463,-0.2657565,0.03197745,-0.9611288);(0.2, 17.4, 2.3)
3/12/2020 5:50:43 PM;3;(-0.2, 20.1, 0.1);(-0.07457064,-0.2025374,0.01547575,-0.9763085);(1.8, 18.2, 2.1)
3/12/2020 5:50:49 PM;2;(-0.2, 20.1, 0.1);(-0.07642195,-0.2665825,0.008217422,-0.9607425);(-2.9, 20.9, -0.4)
3/12/2020 5:50:57 PM;1;(-0.3, 20.1, 0.1);(-0.03342683,0.09811068,-0.01781274,-0.9944545);(-2.8, 21.3, -0.1)
3/12/2020 5:51:03 PM;5;(-0.3, 20.1, 0.1);(-0.05081405,0.02118188,-0.01246589,-0.9984058);(2.2, 21.4, -0.4)
3/12/2020 5:51:09 PM;4;(-0.3, 20.1, 0.1);(-0.06339806,0.00543762,-0.01572202,-0.9978496);(1.4, 20.0, -2.5)
3/12/2020 5:51:15 PM;1;(-0.2, 20.1, 0.1);(-0.0629475,-0.5703927,0.03977309,-0.8179902);(-1.9, 20.4, 2.8)
3/12/2020 5:51:21 PM;5;(-0.3, 20.1, 0.1);(-0.0223318,0.1414419,-0.01050491,-0.9896388);(2.7, 19.8, 1.4)
3/12/2020 5:51:27 PM;4;(-0.3, 20.1, 0.1);(-0.04215943,-0.2341549,0.01444391,-0.9711774);(2.3, 18.2, 1.1)
3/12/2020 5:51:33 PM;2;(-0.3, 20.1, 0.1);(-0.134983,-0.2694889,0.0338115,-0.9528967);(-3.4, 19.3, 0.9)
3/12/2020 5:51:40 PM;1;(-0.3, 20.1, 0.1);(-0.03623119,0.4240701,-0.06112552,-0.9028375);(-3.0, 20.6, -1.0)
3/12/2020 5:51:46 PM;4;(-0.3, 20.1, 0.1);(-0.05735096,0.3185216,-0.05060564,-0.9448249);(2.6, 20.2, 1.0)
3/12/2020 5:51:52 PM;2;(-0.3, 20.1, 0.1);(-0.07897028,0.1940916,-0.05107135,-0.976465);(-1.4, 21.3, -2.3)
