Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/12/2020 5:45:24 PM;4;(-0.2, 20.1, 0.1);(-0.04657475,-0.7288823,0.04580984,-0.6815152);(-1.5, 19.8, -2.8)
3/12/2020 5:45:35 PM;2;(-0.2, 20.1, 0.1);(-0.06129689,-0.8104957,0.09541177,-0.5746619);(-1.0, 19.3, 3.3)
3/12/2020 5:45:43 PM;1;(-0.3, 20.1, 0.2);(-0.06055593,0.009813494,-0.02713881,-0.9977476);(-3.2, 20.7, 0.0)
3/12/2020 5:45:52 PM;4;(-0.4, 20.1, 0.2);(0.002302897,0.3356754,-0.02406965,-0.9416673);(2.2, 20.6, 2.1)
3/12/2020 5:46:00 PM;1;(-0.3, 20.1, 0.2);(0.09483227,-0.1751349,-0.007704873,-0.9799364);(-3.1, 20.9, 1.2)
3/12/2020 5:46:07 PM;3;(-0.3, 20.1, 0.2);(0.04536317,0.3375544,-0.009447131,-0.9401649);(-0.6, 16.7, 1.2)
3/12/2020 5:46:16 PM;2;(-0.3, 20.1, 0.2);(-0.1352095,0.1308947,-0.02805763,-0.981732);(-2.6, 20.3, -1.9)
3/12/2020 5:46:24 PM;1;(-0.4, 20.1, 0.1);(-0.04322875,0.6176488,-0.03050819,-0.7846722);(-0.8, 20.0, -2.8)
3/12/2020 5:46:33 PM;2;(-0.4, 20.1, 0.1);(-0.01651052,0.7975379,-0.07094183,-0.5988559);(1.0, 19.5, -2.7)
3/12/2020 5:46:43 PM;2;(-0.3, 20.1, 0.1);(-0.001393359,0.9413003,-0.06116645,-0.3319796);(2.9, 19.3, -0.9)
3/12/2020 5:46:51 PM;5;(-0.3, 20.1, 0.1);(-0.1061654,-0.5878029,0.05412355,-0.8001797);(1.8, 20.4, -2.3)
3/12/2020 5:46:59 PM;4;(-0.3, 20.1, 0.1);(-0.034656,-0.6740991,0.05932028,-0.7354389);(1.2, 18.0, -2.2)
3/12/2020 5:47:08 PM;3;(-0.3, 20.1, 0.1);(-0.09509064,-0.5778937,0.05273302,-0.8088362);(-1.5, 16.7, 0.4)
3/12/2020 5:47:16 PM;4;(-0.3, 20.1, 0.1);(-0.07594946,0.1932032,-0.02769057,-0.9778229);(2.7, 20.8, 0.8)
3/12/2020 5:47:24 PM;5;(-0.3, 20.1, 0.1);(0.01913926,-0.1997183,-0.01129036,-0.9796014);(2.1, 21.0, -1.5)
3/12/2020 5:47:33 PM;1;(-0.3, 20.1, 0.1);(-0.0009142165,-0.5261627,-0.009416196,-0.8503313);(-1.6, 19.6, 2.9)
3/12/2020 5:47:41 PM;3;(-0.4, 20.1, 0.1);(-0.01811593,0.0621452,-0.03379771,-0.9973303);(-0.4, 22.8, 0.8)
3/12/2020 5:47:50 PM;3;(-0.4, 20.1, 0.2);(-0.02907969,0.07735213,-0.02872155,-0.9961658);(-0.8, 17.0, 1.9)
3/12/2020 5:47:59 PM;5;(-0.4, 20.1, 0.1);(-0.1474289,0.008463681,-0.005777522,-0.9890196);(2.5, 20.9, 0.1)
3/12/2020 5:48:07 PM;5;(-0.3, 20.1, 0.1);(-0.08532812,-0.3948844,0.00587238,-0.914741);(2.6, 20.2, -0.7)
