Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/12/2020 5:25:54 PM;3;(-0.2, 20.1, 0.1);(-0.01350254,0.6626098,-0.06624792,-0.7459069);(-0.2, 16.7, 1.3)
3/12/2020 5:26:04 PM;4;(-0.1, 20.1, 0.2);(-0.06331004,0.03391206,-0.02084713,-0.9971997);(3.1, 19.8, 1.1)
3/12/2020 5:26:13 PM;5;(0.0, 20.1, 0.2);(-0.09677223,-0.3698702,0.03069238,-0.9235201);(2.4, 21.1, -1.4)
3/12/2020 5:26:23 PM;2;(0.0, 20.1, 0.2);(-0.08321652,-0.4845663,0.0371866,-0.869993);(-1.0, 17.5, 2.2)
3/12/2020 5:26:32 PM;4;(-0.1, 20.1, 0.2);(-0.1070783,0.061623,-0.04654607,-0.9912469);(2.8, 21.3, -0.4)
3/12/2020 5:26:40 PM;1;(0.0, 20.1, 0.2);(-0.08725923,-0.4122727,0.003325056,-0.906866);(-1.7, 19.4, 3.0)
3/12/2020 5:26:49 PM;3;(-0.1, 20.1, 0.2);(-0.09436255,0.1214229,-0.05092632,-0.9867922);(-0.2, 22.7, 0.7)
3/12/2020 5:27:00 PM;2;(-0.1, 20.1, 0.2);(-0.1099384,0.05932149,-0.01705305,-0.9920201);(-2.6, 18.4, -1.0)
3/12/2020 5:27:10 PM;2;(-0.1, 20.1, 0.2);(-0.05181333,0.531251,-0.03732366,-0.8448046);(-1.0, 20.2, -2.7)
3/12/2020 5:27:19 PM;1;(0.0, 20.1, 0.1);(-0.01321758,0.7992413,-0.05482243,-0.5983588);(-1.2, 19.1, -2.5)
3/12/2020 5:27:27 PM;5;(-0.1, 20.1, 0.1);(0.002711711,0.7731646,-0.02220161,-0.633811);(-0.9, 21.0, 3.0)
3/12/2020 5:27:46 PM;3;(0.0, 20.1, 0.2);(-0.3260274,0.08924264,-0.01837419,-0.9409592);(-0.2, 22.7, 1.1)
3/12/2020 5:27:55 PM;4;(-0.1, 20.1, 0.2);(-0.04497335,0.1363459,-0.001297385,-0.9896392);(2.2, 21.0, 2.0)
3/12/2020 5:28:04 PM;5;(0.0, 20.1, 0.1);(-0.09014365,0.01044991,-0.00490326,-0.995862);(2.8, 21.2, 0.7)
3/12/2020 5:28:14 PM;1;(0.1, 20.1, 0.1);(-0.06780469,-0.4040711,-0.03078585,-0.9116915);(-1.8, 18.3, 2.3)
3/12/2020 5:28:32 PM;5;(0.0, 20.1, 0.1);(-0.1465945,0.04039748,-0.01366211,-0.988277);(2.8, 20.7, 1.7)
3/12/2020 5:28:41 PM;4;(0.0, 20.1, 0.2);(-0.1198554,-0.2594197,0.01496107,-0.9581818);(2.6, 21.8, -0.3)
3/12/2020 5:28:50 PM;2;(0.1, 20.1, 0.1);(-0.07716013,-0.3641366,0.001182217,-0.9281431);(-2.1, 19.6, 2.5)
3/12/2020 5:28:58 PM;1;(0.0, 20.1, 0.2);(-0.1316444,0.2537794,-0.04989684,-0.9569619);(-3.0, 19.2, -0.1)
3/12/2020 5:29:07 PM;3;(0.0, 20.1, 0.1);(-0.03729434,0.4909904,-0.04813171,-0.8690344);(2.8, 19.5, -1.9)
