Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/12/2020 5:19:57 PM;5;(-0.2, 20.1, 0.0);(-0.08901056,0.5123353,-0.07185021,-0.851133);(1.4, 21.9, 2.1)
3/12/2020 5:20:08 PM;4;(-0.2, 20.1, 0.0);(-0.06292421,-0.03538431,-0.004888442,-0.9973789);(2.9, 19.0, 0.1)
3/12/2020 5:20:19 PM;4;(-0.1, 20.1, 0.0);(-0.1352146,-0.3564424,0.01685321,-0.9243278);(3.0, 20.6, -0.4)
3/12/2020 5:20:37 PM;1;(-0.2, 20.1, 0.0);(-0.05782847,0.4244083,-0.02005654,-0.9033998);(-2.9, 20.0, -1.6)
3/12/2020 5:20:47 PM;5;(-0.2, 20.1, 0.0);(-0.05062486,0.6293762,-0.04833984,-0.7739418);(-1.2, 19.7, 3.0)
3/12/2020 5:20:57 PM;5;(-0.2, 20.1, 0.0);(-0.08863664,0.3265933,-0.053032,-0.9395041);(-0.1, 20.0, 3.2)
3/12/2020 5:21:09 PM;1;(-0.2, 20.1, 0.0);(-0.08008548,0.1930243,-0.05707968,-0.9762531);(-3.3, 19.7, -0.2)
3/12/2020 5:21:18 PM;2;(-0.2, 20.1, 0.0);(-0.07348037,0.402035,-0.09134574,-0.9080885);(-1.5, 22.4, 1.1)
3/12/2020 5:21:33 PM;2;(-0.2, 20.1, 0.0);(-0.08558591,0.3576315,-0.0447169,-0.928857);(0.7, 21.2, -2.9)
3/12/2020 5:21:48 PM;3;(-0.2, 20.1, -0.1);(0.02196274,0.924938,-0.04500969,-0.3768043);(-2.6, 17.7, 0.2)
3/12/2020 5:21:57 PM;2;(-0.2, 20.1, 0.0);(-0.04644979,0.5456915,-0.0666522,-0.8340387);(-2.7, 19.6, -1.9)
3/12/2020 5:22:07 PM;5;(-0.2, 20.1, 0.0);(-0.03917471,0.7128555,-0.08375262,-0.6951891);(-2.1, 19.6, 2.5)
3/12/2020 5:22:18 PM;3;(-0.2, 20.1, 0.0);(-0.04809664,0.6524587,-0.08207607,-0.7518297);(-2.9, 21.1, 0.6)
3/12/2020 5:22:26 PM;1;(-0.2, 20.1, 0.0);(0.005850712,0.5824019,-0.04333447,-0.811724);(-1.7, 21.6, -2.3)
3/12/2020 5:22:35 PM;1;(-0.2, 20.1, -0.1);(-0.04143268,0.6692242,-0.08067264,-0.7375055);(-1.6, 20.8, -2.7)
3/12/2020 5:22:44 PM;3;(-0.2, 20.1, -0.1);(-0.03942179,0.7296497,-0.06124228,-0.6799314);(-2.2, 22.2, 0.0)
3/12/2020 5:22:53 PM;3;(-0.2, 20.1, 0.0);(0.008691718,0.6518067,-0.01346993,-0.7582157);(-0.9, 22.7, 0.3)
3/12/2020 5:23:03 PM;4;(-0.2, 20.1, 0.0);(0.01030596,0.6004525,0.01497989,-0.7994538);(-0.2, 20.4, 3.1)
3/12/2020 5:23:11 PM;4;(-0.1, 20.1, 0.0);(-0.0300076,0.1839499,-0.01069969,-0.9824193);(2.0, 19.8, 2.2)
3/12/2020 5:23:19 PM;2;(-0.1, 20.1, 0.0);(-0.05472574,0.08979604,0.002113389,-0.9944534);(-3.1, 20.8, -0.4)
