Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/6/2020 12:26:11 PM;1;(-0.2, 20.3, 0.1);(0.01595688,-0.08513951,0.03226006,0.9957189);(-2.9, 20.0, 1.6)
3/6/2020 12:26:24 PM;5;(-0.3, 20.3, 0.1);(0.0002169926,-0.408384,0.02696273,0.912412);(1.7, 20.5, 2.6)
3/6/2020 12:26:35 PM;4;(-0.2, 20.3, 0.1);(0.02954404,0.2927249,0.01629156,0.9556013);(2.8, 20.9, 0.5)
3/6/2020 12:26:47 PM;2;(-0.2, 20.3, 0.0);(0.03404244,0.6061267,0.002120469,0.7946365);(1.6, 20.6, 2.5)
3/6/2020 12:27:00 PM;5;(-0.2, 20.3, 0.1);(0.06634618,0.4341128,-0.004525393,0.8984007);(2.6, 20.0, -1.6)
3/6/2020 12:27:13 PM;1;(-0.2, 20.3, 0.0);(0.04746118,0.793996,-0.01801359,0.6057997);(1.8, 19.9, 2.5)
3/6/2020 12:27:20 PM;2;(-0.2, 20.3, 0.1);(0.02390803,0.3518953,0.01415161,0.935627);(1.3, 20.1, 2.8)
3/6/2020 12:27:26 PM;3;(-0.2, 20.3, 0.1);(0.04185002,0.3510766,0.02316558,0.9351242);(2.0, 19.9, 2.4)
3/6/2020 12:27:42 PM;4;(-0.2, 20.3, 0.1);(0.04675726,0.3609823,0.01273937,0.9313127);(2.9, 20.4, -0.3)
3/6/2020 12:27:49 PM;3;(-0.2, 20.3, 0.0);(0.04105355,0.6428797,0.03416443,0.7641028);(2.9, 19.9, 0.7)
3/6/2020 12:28:00 PM;5;(-0.2, 20.3, 0.0);(0.05612968,0.6147828,0.001707753,0.7866948);(1.7, 19.3, -2.6)
3/6/2020 12:28:16 PM;5;(-0.2, 20.3, 0.0);(0.04798371,0.8656997,-0.00308954,0.498249);(-1.0, 19.8, -3.2)
3/6/2020 12:28:30 PM;3;(-0.3, 20.3, 0.0);(0.03786253,0.9836756,-0.03503297,0.1723991);(0.8, 19.1, -2.9)
3/6/2020 12:28:48 PM;4;(-0.3, 20.3, 0.0);(0.04683492,0.9812471,-0.04323804,0.1819099);(-3.6, 19.4, 0.1)
3/6/2020 12:29:08 PM;4;(-0.4, 20.3, 0.0);(-0.01772306,-0.7879585,0.05372071,0.6131244);(-1.8, 19.7, 2.9)
3/6/2020 12:29:19 PM;1;(-0.3, 20.3, 0.1);(0.07304905,-0.2657084,0.04765914,0.9600998);(-3.4, 19.8, -0.3)
3/6/2020 12:29:30 PM;3;(-0.3, 20.3, 0.0);(0.03766024,-0.6647978,0.07024091,0.7427597);(-3.0, 18.3, 0.4)
3/6/2020 12:29:37 PM;1;(-0.4, 20.3, 0.0);(0.04490558,-0.6628864,0.07883452,0.7432027);(-2.6, 20.2, -2.0)
3/6/2020 12:29:49 PM;2;(-0.4, 20.3, 0.0);(0.006819706,-0.8177713,0.04244389,0.5739357);(-2.5, 20.5, -2.0)
3/6/2020 12:29:55 PM;2;(-0.4, 20.3, 0.0);(0.008611076,-0.8101647,0.0459627,0.5843341);(-2.7, 20.2, -1.8)
