Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/6/2020 12:53:24 PM;5;(-0.3, 20.3, 0.1);(0.005316604,0.269873,-0.007938961,-0.9628485);(2.4, 20.3, 1.9)
3/6/2020 12:53:33 PM;4;(-0.2, 20.3, 0.1);(0.012783,-0.3997516,-0.02468409,-0.9162019);(3.0, 20.4, -0.1)
3/6/2020 12:53:46 PM;4;(-0.2, 20.3, 0.1);(-0.02372229,-0.5756598,-0.004886469,-0.8173305);(3.0, 20.1, -1.2)
3/6/2020 12:53:54 PM;1;(-0.2, 20.3, 0.1);(0.03614558,-0.6102163,-0.002699498,-0.7914053);(0.2, 19.9, 3.3)
3/6/2020 12:54:02 PM;5;(-0.3, 20.3, 0.1);(0.0274351,-0.1197946,0.007897679,-0.9923882);(3.1, 20.7, -0.6)
3/6/2020 12:54:17 PM;5;(-0.2, 20.3, 0.0);(0.03031887,-0.6859845,0.001368109,-0.7269831);(0.9, 20.5, -3.3)
3/6/2020 12:54:33 PM;1;(-0.2, 20.3, 0.0);(-0.008664934,-0.8316373,0.007797759,-0.555197);(1.3, 20.1, 2.9)
3/6/2020 12:54:47 PM;2;(-0.2, 20.3, 0.1);(0.02584401,-0.2568051,-0.006087042,-0.9660985);(-0.3, 20.9, 3.1)
3/6/2020 12:54:55 PM;2;(-0.3, 20.3, 0.1);(0.04227279,-0.09939808,0.0003291834,-0.9941494);(-1.0, 20.5, 3.1)
3/6/2020 12:55:07 PM;3;(-0.3, 20.3, 0.1);(0.01805319,-0.06723897,0.002459242,-0.9975705);(0.3, 19.8, 3.2)
3/6/2020 12:55:15 PM;2;(-0.3, 20.3, 0.1);(0.01224812,-0.1110257,0.001757229,-0.9937406);(-1.2, 20.5, 3.1)
3/6/2020 12:55:23 PM;5;(-0.3, 20.3, 0.1);(0.028434,0.00578993,0.02861013,-0.9991694);(3.2, 19.8, -0.2)
3/6/2020 12:55:30 PM;3;(-0.2, 20.3, 0.0);(0.02946649,-0.6550761,-0.01886903,-0.7547524);(3.1, 20.6, 0.6)
3/6/2020 12:55:39 PM;1;(-0.2, 20.3, 0.0);(0.01420295,-0.6411796,0.006876049,-0.7672287);(-0.6, 19.9, 3.3)
3/6/2020 12:55:52 PM;1;(-0.3, 20.3, 0.1);(0.01663887,-0.042338,-0.001166082,-0.9989641);(-3.2, 19.9, 1.2)
3/6/2020 12:56:00 PM;3;(-0.4, 20.3, 0.1);(0.03495578,0.3347954,0.01408847,-0.941537);(-1.0, 21.0, 3.0)
3/6/2020 12:56:12 PM;3;(-0.3, 20.3, 0.1);(0.02431333,0.1374504,-0.001835646,-0.9902086);(-0.3, 20.7, 3.2)
3/6/2020 12:56:20 PM;4;(-0.3, 20.3, 0.1);(0.008022881,0.06782303,-0.002790214,-0.9976612);(1.3, 20.3, 3.0)
3/6/2020 12:56:28 PM;4;(-0.3, 20.3, 0.1);(0.01061361,-0.05216176,0.006511539,-0.9985611);(2.4, 21.0, 1.9)
3/6/2020 12:56:35 PM;2;(-0.2, 20.3, 0.1);(0.02265045,-0.4146096,-0.01215172,-0.9096363);(0.0, 20.4, 3.3)
