Login date;Stimuli Location;Head Position;Head Rotation;Point Location
2/21/2020 1:42:03 PM;2;(-0.1, 20.2, -0.2);(-0.01971966,0.8905292,-0.07885923,-0.4476047);(0.4, 22.1, -2.5)
2/21/2020 1:42:11 PM;3;(0.0, 20.2, -0.3);(0.03282735,0.9976298,-0.0498163,-0.03429079);(-0.4, 21.9, -2.7)
2/21/2020 1:42:19 PM;1;(0.0, 20.2, -0.3);(0.02248825,0.9985313,-0.02929559,-0.03963983);(2.9, 20.5, 0.7)
2/21/2020 1:42:27 PM;4;(0.1, 20.2, -0.1);(0.06647556,0.7898178,-0.04127581,0.60833);(-0.6, 22.2, -2.3)
2/21/2020 1:42:35 PM;2;(0.1, 20.2, -0.2);(0.04671139,0.9883944,0.008921332,0.1442738);(2.1, 22.5, -0.1)
2/21/2020 1:42:44 PM;5;(0.2, 20.2, -0.1);(0.03493775,0.756075,0.005834597,0.6535258);(-0.5, 22.1, -2.5)
2/21/2020 1:42:54 PM;3;(0.1, 20.2, -0.2);(0.01339363,0.9980053,-0.01197462,0.06052103);(0.7, 22.2, -2.5)
2/21/2020 1:43:01 PM;3;(0.1, 20.2, -0.2);(0.01943103,0.9942647,-0.00549851,0.1050239);(0.5, 22.2, -2.6)
2/21/2020 1:43:10 PM;4;(0.1, 20.2, -0.2);(0.02193287,0.9938267,-0.02963162,0.1046399);(-2.0, 22.4, -1.5)
2/21/2020 1:43:21 PM;5;(0.2, 20.2, 0.0);(0.004943559,0.9351003,-0.07368556,-0.3466032);(0.3, 21.9, 2.7)
2/21/2020 1:43:30 PM;5;(0.1, 20.2, 0.0);(0.0218322,0.3746367,-0.02392296,-0.9266059);(2.3, 22.5, 0.5)
2/21/2020 1:43:40 PM;1;(0.1, 20.2, 0.1);(-0.01987563,-0.1804927,-0.0271058,-0.9830018);(-2.8, 20.4, 1.2)
2/21/2020 1:43:49 PM;2;(0.1, 20.2, 0.1);(-0.01126008,0.5564932,-0.04205978,-0.8297105);(-1.1, 22.1, -1.9)
2/21/2020 1:44:00 PM;4;(0.0, 20.2, 0.0);(0.0338528,0.8587887,-0.02620982,-0.510538);(-1.8, 22.2, 1.5)
2/21/2020 1:44:09 PM;5;(0.0, 20.2, 0.1);(0.04306957,0.5565467,-0.01317724,-0.8295946);(1.7, 21.9, 2.1)
2/21/2020 1:44:18 PM;1;(0.1, 20.2, 0.2);(-0.05611581,-0.1122489,-0.01265953,-0.9920136);(-3.0, 20.7, 0.3)
2/21/2020 1:44:26 PM;4;(0.0, 20.2, 0.1);(-0.04843999,0.5908517,-0.06083107,-0.803024);(-0.6, 21.7, 2.7)
2/21/2020 1:44:35 PM;1;(0.0, 20.2, 0.0);(-0.03051266,0.2095367,-0.04106053,-0.9764617);(-2.9, 20.6, -0.9)
2/21/2020 1:44:46 PM;2;(0.0, 20.2, -0.1);(-0.005986894,0.8003174,-0.05914072,-0.5966228);(-0.4, 22.2, -2.3)
2/21/2020 1:44:55 PM;3;(0.0, 20.2, -0.2);(0.004329521,0.9798485,-0.05833167,-0.1909863);(-0.9, 22.2, -2.4)
