Login date;Stimuli Location;Head Position;Head Rotation;Point Location
2/21/2020 1:12:17 PM;5;(-0.1, 20.2, -0.2);(0.02335668,-0.7998758,0.07584061,0.5948961);(-0.5, 21.0, 2.9)
2/21/2020 1:12:28 PM;4;(-0.1, 20.2, -0.1);(0.05994993,-0.2765478,0.03897822,0.9583362);(1.0, 21.3, 2.6)
2/21/2020 1:12:38 PM;5;(0.0, 20.2, -0.1);(0.02942995,0.02954387,0.01277819,0.9990485);(3.2, 20.8, -0.6)
2/21/2020 1:12:49 PM;2;(0.1, 20.2, -0.1);(0.06152146,0.5421742,-0.01458471,0.837884);(0.0, 21.7, 2.5)
2/21/2020 1:13:00 PM;3;(0.0, 20.2, -0.2);(0.02973811,-0.01476283,0.02576516,0.9991167);(0.1, 20.6, 3.0)
2/21/2020 1:13:09 PM;4;(0.0, 20.2, -0.1);(0.03487153,-0.01781824,0.01517577,0.9991177);(2.3, 21.3, 1.7)
2/21/2020 1:13:22 PM;1;(0.0, 20.2, -0.1);(0.04148522,0.303179,0.009500516,0.9519829);(-2.7, 20.1, 1.5)
2/21/2020 1:13:30 PM;4;(-0.1, 20.2, -0.2);(0.05814809,-0.4292348,0.05129351,0.8998585);(0.6, 21.4, 2.7)
2/21/2020 1:13:39 PM;1;(0.0, 20.2, -0.1);(0.04814776,-0.04739504,0.02640809,0.9973657);(-3.0, 20.2, -1.2)
2/21/2020 1:13:49 PM;2;(-0.1, 20.2, -0.3);(0.01352113,-0.7541934,0.05763768,0.6539782);(-1.0, 21.9, -2.5)
2/21/2020 1:13:57 PM;1;(-0.1, 20.2, -0.4);(-0.03536073,-0.9532964,0.04361189,0.2967721);(2.3, 20.9, -1.9)
2/21/2020 1:14:08 PM;2;(0.1, 20.2, -0.3);(-0.06285701,-0.9494846,0.05150345,-0.3031094);(2.6, 21.8, -0.8)
2/21/2020 1:14:17 PM;3;(0.2, 20.2, -0.2);(-0.07143976,-0.7979054,0.02330705,-0.5980803);(3.1, 20.7, -1.1)
2/21/2020 1:14:26 PM;2;(0.2, 20.2, -0.2);(-0.05378577,-0.801047,0.01652,-0.5959513);(2.0, 21.8, 1.4)
2/21/2020 1:14:36 PM;5;(0.1, 20.2, -0.1);(-0.0645714,-0.5143093,-0.008899344,-0.8551241);(1.3, 21.2, -2.9)
2/21/2020 1:14:45 PM;1;(0.2, 20.2, -0.2);(-0.04517651,-0.9186261,0.03248092,-0.3911908);(2.1, 20.6, 2.2)
2/21/2020 1:14:55 PM;3;(0.1, 20.2, -0.1);(-0.08795429,-0.4529993,-0.009983312,-0.8871055);(2.3, 21.4, 1.5)
2/21/2020 1:15:04 PM;3;(0.1, 20.2, -0.1);(-0.04882315,-0.4087375,-0.02939418,-0.910871);(2.5, 20.3, 1.8)
2/21/2020 1:15:13 PM;4;(0.1, 20.2, -0.1);(-0.03979456,-0.4186052,-0.02790432,-0.9068669);(2.3, 21.9, -1.5)
2/21/2020 1:15:22 PM;5;(0.2, 20.2, -0.2);(-0.06712094,-0.6502314,0.003040381,-0.7567594);(-0.9, 21.5, -2.8)
