Login date;Stimuli Location;Head Position;Head Rotation;Point Location
2/21/2020 1:04:18 PM;3;(0.0, 20.2, -0.1);(0.02465864,0.9822603,-0.07558037,-0.169836);(-0.9, 22.4, -2.2)
2/21/2020 1:04:26 PM;1;(0.0, 20.2, -0.1);(0.02286797,0.9836593,-0.05164525,-0.1709512);(-0.9, 20.5, -2.9)
2/21/2020 1:04:33 PM;1;(0.0, 20.2, -0.1);(0.01775964,0.9889758,-0.07385927,-0.1271078);(2.7, 21.2, 0.8)
2/21/2020 1:05:19 PM;5;(0.2, 20.2, 0.1);(0.07859015,0.6939052,-0.03936931,0.7146813);(-0.1, 22.3, -2.5)
2/21/2020 1:05:32 PM;1;(0.2, 20.2, -0.1);(0.04342112,0.9615406,-0.04337135,0.267719);(2.5, 21.3, 1.6)
2/21/2020 1:05:40 PM;3;(0.2, 20.2, 0.1);(0.04596002,0.5230325,0.01636288,0.8509155);(2.6, 21.6, 1.3)
2/21/2020 1:05:48 PM;4;(0.2, 20.2, 0.1);(0.0490343,0.5145378,0.003415274,0.8560578);(1.3, 22.4, -1.7)
2/21/2020 1:05:58 PM;2;(0.2, 20.2, 0.1);(0.04763691,0.8802798,-0.01022426,0.4719467);(0.3, 22.4, 2.1)
2/21/2020 1:06:08 PM;4;(0.1, 20.2, 0.2);(0.06035402,0.2897972,0.01374418,0.9550843);(2.0, 22.2, -1.4)
2/21/2020 1:06:16 PM;2;(0.3, 20.2, 0.1);(0.06169872,0.7908208,-0.02967667,0.6082063);(0.4, 22.3, 2.2)
2/21/2020 1:06:23 PM;5;(0.2, 20.2, 0.2);(0.05418861,0.3358434,0.02734526,0.9399601);(2.3, 21.4, -1.9)
2/21/2020 1:06:31 PM;5;(0.3, 20.2, 0.1);(0.0566819,0.8417827,-0.006384626,0.5367945);(-1.2, 21.6, -2.3)
2/21/2020 1:06:38 PM;4;(0.2, 20.2, 0.0);(0.04962277,0.9978907,-0.03194441,0.02704075);(-2.1, 21.8, -1.4)
2/21/2020 1:06:48 PM;3;(0.1, 20.2, 0.0);(0.02873012,0.9555212,-0.02899388,-0.2920839);(-1.6, 21.3, -2.4)
2/21/2020 1:06:55 PM;2;(0.1, 20.2, 0.0);(0.03019275,0.9607594,-0.03075374,-0.2740145);(2.2, 22.6, -0.6)
2/21/2020 1:07:02 PM;4;(0.2, 20.2, 0.1);(0.05563383,0.9110358,-0.00181473,0.4085529);(-1.5, 21.9, -2.0)
2/21/2020 1:07:14 PM;2;(0.1, 20.2, 0.0);(0.01879887,0.9975797,-0.03918524,-0.05427703);(2.5, 21.9, 0.3)
2/21/2020 1:07:22 PM;3;(0.2, 20.2, 0.1);(0.05352929,0.7431024,0.002889425,0.6670272);(2.8, 21.6, -0.6)
2/21/2020 1:07:29 PM;1;(0.2, 20.2, 0.1);(0.03172923,0.7606056,0.01819347,0.6481832);(-0.2, 21.2, 2.9)
2/21/2020 1:08:28 PM;5;(-0.2, 20.2, 0.0);(0.1018418,0.1429792,0.01451602,0.984365);(1.9, 22.2, -1.3)
