Login date;Stimuli Location;Head Position;Head Rotation;Point Location
2/21/2020 1:36:26 PM;2;(-0.3, 20.2, -0.1);(-0.02678077,0.6776823,-0.06568476,-0.7319256);(-1.1, 22.4, -1.9)
2/21/2020 1:36:35 PM;5;(-0.3, 20.2, -0.2);(0.008348661,0.9187553,-0.06822785,-0.3887982);(-2.0, 22.1, 1.6)
2/21/2020 1:36:42 PM;3;(-0.4, 20.2, 0.0);(-0.01048289,0.5787203,-0.06282514,-0.8130351);(-2.2, 22.3, 0.6)
2/21/2020 1:36:48 PM;4;(-0.3, 20.2, 0.0);(-0.03105608,0.5788251,-0.05575837,-0.8129503);(-0.8, 22.1, 2.3)
2/21/2020 1:37:37 PM;1;(-0.2, 20.2, 0.0);(-0.08302034,0.2586215,-0.03989407,-0.9615774);(-2.4, 21.2, -1.9)
2/21/2020 1:37:47 PM;2;(-0.3, 20.2, -0.1);(-0.04161218,0.7431483,-0.08464532,-0.6624457);(-1.0, 22.6, -1.6)
2/21/2020 1:37:52 PM;1;(-0.3, 20.2, -0.2);(0.01534513,0.879714,-0.08585088,-0.4674372);(1.2, 21.7, -2.3)
2/21/2020 1:37:58 PM;4;(-0.2, 20.2, -0.3);(0.03678391,0.9840005,-0.04565104,-0.1682439);(-2.7, 21.8, -1.3)
2/21/2020 1:38:03 PM;5;(-0.3, 20.2, -0.3);(0.04755518,0.9435952,-0.03091014,-0.3262077);(-1.8, 21.7, 2.1)
2/21/2020 1:38:09 PM;3;(-0.3, 20.2, -0.2);(0.02940773,0.6022886,-0.05647223,-0.7957353);(-2.8, 21.6, 0.6)
2/21/2020 1:38:14 PM;5;(-0.3, 20.2, -0.2);(-0.008762836,0.6064666,-0.06011831,-0.7927845);(0.4, 21.3, 2.7)
2/21/2020 1:38:22 PM;1;(-0.2, 20.2, 0.0);(-0.05747761,0.1067305,-0.0343123,-0.9920322);(-3.2, 21.0, -0.5)
2/21/2020 1:38:28 PM;3;(-0.2, 20.2, -0.1);(0.04932141,0.7256019,-0.01521081,-0.6861765);(-2.7, 21.8, -0.3)
2/21/2020 1:38:34 PM;2;(-0.2, 20.2, -0.2);(-0.03440409,0.7345601,-0.06490099,-0.674556);(-1.1, 22.1, -2.2)
2/21/2020 1:38:41 PM;1;(-0.2, 20.2, -0.2);(-0.000909999,0.9185223,-0.08280735,-0.3865991);(1.7, 21.2, -2.5)
2/21/2020 1:38:51 PM;4;(0.0, 20.2, -0.2);(0.08200707,0.9723234,-0.1100123,0.1891018);(-1.0, 22.6, -2.1)
2/21/2020 1:38:58 PM;4;(0.0, 20.2, -0.2);(0.05215282,0.993261,-0.04993058,0.09066148);(-1.6, 22.4, -1.9)
2/21/2020 1:39:05 PM;5;(-0.1, 20.2, -0.3);(0.02255184,0.9847453,-0.08610714,-0.1495122);(-2.7, 21.5, 1.0)
2/21/2020 1:39:11 PM;2;(-0.2, 20.2, -0.2);(0.01050469,0.6893353,-0.07180786,-0.7207981);(-0.8, 22.0, -2.4)
2/21/2020 1:39:16 PM;3;(-0.1, 20.2, -0.2);(0.05381966,0.9603454,-0.05199244,-0.2685834);(-1.4, 21.6, -2.5)
