Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/1/2020 5:26:27 PM;1;(-0.3, 20.1, 0.2);(-0.00390486,0.5054027,-0.009587636,0.8628215);(-0.8, 19.8, 3.3)
3/1/2020 5:26:38 PM;1;(-0.3, 20.1, 0.1);(-0.05781766,-0.09842082,0.03699733,0.9927748);(-3.4, 19.6, -0.8)
3/1/2020 5:26:48 PM;5;(-0.3, 20.1, 0.1);(-0.04304922,-0.7507212,0.007028582,0.6591778);(-1.2, 19.8, 3.2)
3/1/2020 5:27:06 PM;3;(-0.3, 20.1, 0.1);(0.002020904,-0.1059202,0.04197281,0.9934864);(-0.4, 20.2, -2.9)
3/1/2020 5:27:24 PM;3;(-0.3, 20.1, 0.1);(0.04624548,0.9987687,-0.003151578,0.01767584);(-0.6, 19.6, 3.3)
3/1/2020 5:27:39 PM;3;(-0.3, 20.1, 0.1);(0.0387763,-0.02109632,0.0500526,0.9977705);(-0.7, 19.1, 3.2)
3/1/2020 5:27:49 PM;4;(-0.3, 20.1, 0.1);(-0.03726479,-0.01360436,0.03260367,0.9986808);(2.9, 20.6, 0.1)
3/1/2020 5:28:04 PM;2;(-0.3, 20.1, 0.1);(0.02236982,0.6174913,0.06715748,0.7833863);(-0.1, 19.6, 3.4)
3/1/2020 5:28:21 PM;4;(-0.3, 20.1, 0.1);(0.07993748,0.01921919,0.08375084,0.9930895);(2.7, 20.5, -0.8)
3/1/2020 5:28:40 PM;5;(-0.3, 20.1, 0.1);(0.03804381,0.7077172,0.05849981,0.7030413);(-0.2, 20.9, -3.0)
3/1/2020 5:28:53 PM;5;(-0.2, 20.1, 0.1);(0.05660294,0.9930799,0.03971788,0.09492655);(-3.3, 21.1, -0.6)
3/1/2020 5:29:04 PM;1;(-0.3, 20.1, 0.1);(0.07894859,0.8203166,0.03618144,-0.5652775);(0.6, 20.2, -2.9)
3/1/2020 5:29:16 PM;2;(-0.3, 20.1, 0.1);(0.04141196,0.9963446,0.03881774,0.06384155);(2.9, 20.3, -0.7)
3/1/2020 5:29:33 PM;1;(-0.2, 20.1, 0.1);(0.04232995,0.7647163,0.01830496,0.642715);(0.4, 20.0, 3.4)
3/1/2020 5:29:44 PM;4;(-0.3, 20.1, 0.2);(-0.05153296,0.1248507,0.06186727,0.988903);(2.1, 20.8, -1.9)
3/1/2020 5:30:03 PM;5;(-0.2, 20.1, 0.1);(0.05759949,0.8998424,0.03388318,0.4310659);(-2.0, 20.2, -2.2)
3/1/2020 5:30:20 PM;4;(-0.2, 20.1, 0.0);(0.03806767,0.9760137,-0.03844325,-0.21088);(-3.4, 20.3, -0.2)
3/1/2020 5:30:36 PM;2;(-0.2, 20.1, 0.1);(0.0439289,0.805557,-0.04596302,-0.5890973);(0.6, 20.3, -2.9)
3/1/2020 5:30:47 PM;2;(-0.2, 20.1, 0.1);(0.05466597,0.9956095,0.02154483,0.07286462);(2.6, 19.4, -1.5)
3/1/2020 5:31:04 PM;3;(-0.1, 20.1, 0.1);(0.08340313,0.8941379,-0.04063753,0.4380754);(2.6, 19.3, -1.6)
