Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/1/2020 5:32:57 PM;3;(-0.2, 20.1, 0.1);(0.01749192,0.6598787,0.05482108,0.7491655);(3.0, 19.7, 0.6)
3/1/2020 5:33:05 PM;5;(-0.2, 20.1, 0.1);(0.01230678,0.6577368,0.05269909,0.7513015);(0.9, 19.9, -3.1)
3/1/2020 5:33:13 PM;2;(-0.2, 20.1, 0.0);(0.03624833,0.9523235,0.04424537,0.2996804);(0.8, 18.8, 3.0)
3/1/2020 5:33:20 PM;4;(-0.2, 20.1, 0.2);(0.02026634,0.222282,0.07004603,0.9722518);(0.9, 20.2, -3.0)
3/1/2020 5:33:28 PM;1;(-0.2, 20.1, 0.1);(0.04839597,0.9481938,0.04692275,0.3104592);(2.6, 19.7, 1.8)
3/1/2020 5:33:37 PM;4;(-0.2, 20.1, 0.1);(0.00672337,0.5199504,0.06016026,0.8520489);(1.3, 20.0, -2.9)
3/1/2020 5:33:47 PM;2;(-0.1, 20.1, 0.1);(0.05256175,0.9579031,0.02498993,0.2811306);(2.6, 19.0, 1.6)
3/1/2020 5:33:54 PM;2;(-0.2, 20.1, 0.1);(0.00960415,0.5178723,0.05981418,0.8533103);(-2.1, 19.0, 2.5)
3/1/2020 5:34:01 PM;3;(-0.2, 20.1, 0.1);(-0.01795171,-0.2642769,0.0559773,0.9626537);(-2.1, 19.1, 2.6)
3/1/2020 5:34:09 PM;2;(-0.2, 20.1, 0.1);(-0.01133478,-0.2896401,0.05253234,0.9556258);(-3.4, 19.5, 0.2)
3/1/2020 5:34:19 PM;1;(-0.2, 20.1, 0.0);(-0.05359835,-0.6491049,0.02769066,0.7583029);(-0.2, 19.5, -2.8)
3/1/2020 5:34:27 PM;3;(-0.1, 20.1, 0.0);(-0.06958103,-0.9927343,-0.01416156,0.09714377);(-0.7, 20.0, -2.9)
3/1/2020 5:34:39 PM;5;(-0.2, 20.1, 0.0);(-0.05664485,-0.9877362,0.01378817,0.1448395);(-3.0, 20.3, 1.6)
3/1/2020 5:34:50 PM;1;(-0.2, 20.1, 0.0);(-0.05222423,-0.4856646,0.02866067,0.872113);(-1.8, 20.5, -2.8)
3/1/2020 5:35:00 PM;4;(-0.2, 20.1, 0.0);(-0.06408548,-0.9545044,-0.040828,0.2883533);(-0.8, 20.9, 3.0)
3/1/2020 5:35:06 PM;3;(-0.2, 20.1, 0.0);(-0.03689721,-0.12493,0.06392689,0.9894162);(-1.0, 19.3, 3.2)
3/1/2020 5:35:16 PM;5;(-0.2, 20.1, 0.0);(-0.01880461,-0.1041243,0.05055013,0.9931009);(3.0, 20.6, 0.2)
3/1/2020 5:35:23 PM;1;(-0.2, 20.1, 0.1);(0.02025557,0.5916658,0.06067701,0.8036415);(-1.3, 19.2, 3.1)
3/1/2020 5:35:31 PM;4;(-0.2, 20.1, 0.1);(-0.03818253,-0.1729257,0.04490796,0.9831696);(2.9, 20.7, -0.2)
3/1/2020 5:35:38 PM;5;(-0.2, 20.1, 0.1);(0.02217626,0.649753,0.07562054,0.7560493);(0.3, 19.4, -3.2)
