Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/1/2020 5:53:36 PM;4;(-0.4, 20.1, 0.2);(0.02086824,0.3737957,-0.01799456,-0.9271018);(0.0, 19.5, 3.3)
3/1/2020 5:53:41 PM;3;(-0.4, 20.1, 0.2);(-0.00980574,0.04772577,-0.02678997,-0.998453);(-0.7, 19.8, 3.3)
3/1/2020 5:53:47 PM;5;(-0.4, 20.1, 0.2);(0.01045624,0.04684075,-0.03139929,-0.998354);(2.4, 19.8, 1.8)
3/1/2020 5:53:51 PM;3;(-0.4, 20.1, 0.2);(-0.01757978,-0.3881765,-0.008134456,-0.9213815);(1.9, 19.7, 2.4)
3/1/2020 5:53:57 PM;2;(-0.4, 20.1, 0.2);(-0.02211036,-0.3733795,-0.0140488,-0.9273089);(-1.4, 19.5, 3.2)
3/1/2020 5:54:05 PM;1;(-0.4, 20.1, 0.2);(-0.002888595,0.1498049,-0.02026541,-0.9885038);(-3.6, 19.7, 0.0)
3/1/2020 5:54:15 PM;1;(-0.5, 20.1, 0.2);(0.01029607,0.5609748,-0.01455332,-0.827641);(-3.2, 19.6, -1.6)
3/1/2020 5:54:20 PM;3;(-0.5, 20.1, 0.1);(0.02735963,0.8376656,-0.003373058,-0.5454876);(-3.5, 19.7, -0.8)
3/1/2020 5:54:31 PM;2;(-0.5, 20.1, 0.1);(0.01169993,0.7887598,-0.03431405,-0.6136316);(-3.0, 20.0, -1.7)
3/1/2020 5:54:38 PM;4;(-0.5, 20.1, 0.1);(0.01977097,0.8785111,0.01037508,-0.4771998);(-2.6, 20.2, 2.5)
3/1/2020 5:54:44 PM;1;(-0.5, 20.1, 0.1);(0.02019976,0.4276735,-0.02163419,-0.9034486);(-3.3, 20.3, -1.1)
3/1/2020 5:54:50 PM;5;(-0.4, 20.1, 0.2);(0.04303736,0.8292198,0.007034969,-0.5572187);(-2.6, 19.1, 2.5)
3/1/2020 5:54:56 PM;1;(-0.4, 20.1, 0.2);(-0.003689826,0.3678646,-0.02821283,-0.929444);(-3.4, 20.3, -0.9)
3/1/2020 5:55:03 PM;4;(-0.5, 20.1, 0.1);(0.02750254,0.7990885,-0.009717103,-0.6005055);(-3.4, 20.1, 1.4)
3/1/2020 5:55:09 PM;2;(-0.5, 20.1, 0.1);(0.02068354,0.6051509,-0.02872685,-0.7953235);(-3.5, 20.4, -0.8)
3/1/2020 5:55:16 PM;4;(-0.5, 20.1, 0.1);(0.02388897,0.7861196,-0.006982184,-0.6175732);(-3.5, 20.0, 1.3)
3/1/2020 5:55:21 PM;3;(-0.5, 20.1, 0.1);(0.01295659,0.6617013,-0.0191164,-0.7494119);(-3.7, 19.7, 0.3)
3/1/2020 5:55:29 PM;5;(-0.5, 20.1, 0.1);(0.0164322,0.6824693,-0.01683781,-0.7305355);(-1.0, 19.5, 3.3)
3/1/2020 5:55:36 PM;5;(-0.5, 20.1, 0.2);(0.004621708,0.1730532,-0.02311767,-0.9846303);(2.5, 19.6, 1.5)
3/1/2020 5:55:42 PM;2;(-0.5, 20.1, 0.2);(-0.006085342,-0.494778,-0.02771999,-0.868556);(-0.4, 20.7, 3.3)
