Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/5/2020 5:13:16 PM;4;(-0.3, 20.1, 0.0);(-0.07057151,-0.07656555,-0.04667798,-0.993468);(0.6, 21.9, -2.0)
3/5/2020 5:13:21 PM;4;(-0.3, 20.1, 0.0);(-0.07884074,-0.05879728,-0.05368622,-0.9937026);(0.3, 21.9, -2.0)
3/5/2020 5:13:27 PM;3;(-0.3, 20.1, 0.0);(-0.08237401,-0.04964405,-0.05346579,-0.9939273);(-0.2, 20.2, -2.7)
3/5/2020 5:13:31 PM;1;(-0.3, 20.1, 0.0);(-0.08729073,-0.06038072,-0.05568282,-0.9927911);(-3.3, 20.2, -0.3)
3/5/2020 5:13:35 PM;3;(-0.3, 20.1, 0.0);(-0.08684091,-0.05450394,-0.06215788,-0.9927862);(-0.3, 20.3, -2.7)
3/5/2020 5:13:40 PM;5;(-0.3, 20.1, 0.0);(-0.1002063,-0.0611089,-0.05682822,-0.9914611);(1.4, 21.5, -1.9)
3/5/2020 5:13:44 PM;3;(-0.3, 20.1, 0.0);(-0.09537319,-0.05143544,-0.05935303,-0.9923385);(-0.5, 20.2, -2.8)
3/5/2020 5:13:49 PM;2;(-0.3, 20.1, 0.0);(-0.09359061,-0.04786818,-0.06063142,-0.9926094);(-0.6, 21.0, -2.7)
3/5/2020 5:13:53 PM;5;(-0.3, 20.1, 0.0);(-0.09399649,-0.07502321,-0.04801481,-0.9915801);(1.2, 22.0, -1.5)
3/5/2020 5:13:56 PM;1;(-0.3, 20.1, 0.0);(-0.1066301,-0.05831725,-0.05807674,-0.9908866);(-3.3, 20.1, -0.1)
3/5/2020 5:14:00 PM;3;(-0.3, 20.1, 0.0);(-0.1052133,-0.05769323,-0.06278381,-0.9907875);(-0.5, 20.2, -2.7)
3/5/2020 5:14:05 PM;1;(-0.3, 20.1, 0.0);(-0.09165499,-0.05526269,-0.06431217,-0.9921741);(-3.0, 20.0, 1.6)
3/5/2020 5:14:09 PM;4;(-0.3, 20.1, 0.0);(-0.08190766,-0.04635371,-0.05183085,-0.9942113);(0.0, 21.0, -2.7)
3/5/2020 5:14:13 PM;5;(-0.4, 20.1, 0.0);(-0.000658355,-0.000275427,-0.05203062,-0.9986452);(1.7, 21.2, -1.9)
3/5/2020 5:14:17 PM;2;(-0.3, 20.1, 0.0);(-0.01598384,0.001564292,-0.05190804,-0.9985228);(-1.4, 21.3, -2.3)
3/5/2020 5:14:21 PM;2;(-0.3, 20.1, 0.0);(-0.03523602,-0.04594159,-0.04711547,-0.9972101);(-1.6, 21.0, -2.3)
3/5/2020 5:14:25 PM;5;(-0.3, 20.1, 0.0);(-0.04462842,-0.04804633,-0.04908339,-0.9966398);(1.4, 21.5, -1.8)
3/5/2020 5:14:29 PM;2;(-0.3, 20.1, 0.0);(-0.05989195,-0.04183591,-0.06073738,-0.9954766);(-0.9, 21.8, -2.1)
3/5/2020 5:14:33 PM;4;(-0.3, 20.1, 0.0);(-0.05857435,-0.06308144,-0.05266066,-0.9948952);(0.1, 20.9, -2.6)
3/5/2020 5:14:36 PM;1;(-0.3, 20.1, 0.0);(-0.06815469,-0.05617832,-0.05423684,-0.9946142);(-3.3, 20.2, -0.3)
