Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/1/2020 2:57:00 PM;5;(-0.1, 20.3, -0.1);(0.03791951,-0.9729037,0.08505905,0.2116258);(-3.3, 21.0, 1.0)
3/1/2020 2:57:10 PM;4;(-0.2, 20.3, 0.0);(0.02553272,-0.7778191,0.06193877,0.6249073);(-2.9, 20.1, 2.0)
3/1/2020 2:57:16 PM;2;(-0.1, 20.3, 0.0);(0.03120006,-0.8017234,0.06279672,0.593568);(-0.1, 21.2, -2.9)
3/1/2020 2:57:21 PM;5;(-0.1, 20.3, 0.0);(0.02918158,-0.9598426,0.02375075,0.2780047);(-2.7, 21.0, 2.0)
3/1/2020 2:57:29 PM;3;(-0.2, 20.3, 0.0);(0.03520888,-0.7015584,0.02931028,0.711138);(-3.4, 19.9, -0.4)
3/1/2020 2:57:33 PM;4;(-0.2, 20.3, 0.0);(0.0489495,-0.7127764,0.0375061,0.6986752);(-0.1, 20.2, 3.4)
3/1/2020 2:57:45 PM;2;(-0.1, 20.3, 0.1);(0.05149145,-0.2615245,-0.008998792,0.9637805);(-1.5, 20.9, -2.6)
3/1/2020 2:57:56 PM;3;(-0.2, 20.3, 0.0);(0.01760319,-0.8443604,0.04721605,0.5334008);(-2.8, 20.1, -1.9)
3/1/2020 2:58:06 PM;1;(-0.2, 20.3, 0.0);(0.03124858,-0.8169209,0.02506339,0.575357);(2.1, 20.8, -2.1)
3/1/2020 2:58:15 PM;1;(0.0, 20.3, 0.0);(-0.05525243,-0.9754686,-0.09291683,-0.1917679);(2.5, 20.5, 1.6)
3/1/2020 2:58:29 PM;1;(0.0, 20.3, 0.0);(-0.01051872,-0.6824278,-0.03826326,-0.7298751);(-1.2, 20.4, 2.9)
3/1/2020 2:58:37 PM;2;(0.0, 20.3, 0.1);(0.002060748,-0.05317072,0.007100482,-0.9985582);(-2.4, 21.0, -1.9)
3/1/2020 2:58:44 PM;1;(-0.1, 20.3, 0.0);(0.01574487,0.7888815,0.01752971,-0.6140937);(2.1, 20.7, -2.2)
3/1/2020 2:58:58 PM;4;(0.0, 20.3, 0.0);(0.009126242,0.9983203,-0.02384727,0.05200563);(-3.3, 21.0, 0.6)
3/1/2020 2:59:03 PM;4;(-0.1, 20.3, 0.1);(0.008455876,0.81033,-0.002727034,-0.5859065);(-1.4, 20.9, 3.2)
3/1/2020 2:59:20 PM;2;(0.0, 20.3, -0.1);(0.003298039,0.3762701,0.04132975,-0.9255819);(-0.1, 22.0, -2.7)
3/1/2020 2:59:27 PM;5;(0.0, 20.3, -0.2);(-0.003631717,0.9865345,-0.01751289,-0.1625732);(-2.9, 20.8, 1.7)
3/1/2020 2:59:38 PM;5;(-0.1, 20.3, -0.1);(-0.0009899223,0.614275,-0.01131733,-0.7890103);(0.1, 21.0, 3.2)
3/1/2020 2:59:42 PM;3;(-0.1, 20.3, -0.1);(0.001471967,0.1502822,-0.0145927,-0.9885344);(-1.0, 20.3, 3.0)
3/1/2020 2:59:46 PM;3;(0.0, 20.3, -0.1);(-0.03270482,0.1531407,0.01712867,-0.9875145);(-1.0, 20.0, 2.9)
