Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/1/2020 2:30:28 PM;3;(-0.1, 20.3, -0.1);(-0.05300815,0.749944,-0.07527073,-0.6550637);(-3.3, 20.3, 0.6)
3/1/2020 2:30:38 PM;4;(-0.1, 20.3, -0.1);(-0.04656725,0.7362275,-0.1106707,-0.6659974);(-1.6, 20.4, 3.4)
3/1/2020 2:30:48 PM;3;(-0.1, 20.3, -0.1);(-0.07345008,0.4107155,-0.01099659,-0.9087337);(-2.6, 20.2, 2.0)
3/1/2020 2:30:57 PM;1;(-0.1, 20.3, -0.1);(-0.06529901,0.3897867,-0.00476669,-0.9185749);(-1.0, 20.8, -2.8)
3/1/2020 2:31:18 PM;2;(0.0, 20.3, -0.1);(-0.05162028,0.8364412,-0.02561991,-0.5450184);(-0.1, 22.1, -2.6)
3/1/2020 2:31:27 PM;1;(-0.1, 20.3, -0.2);(-0.007694339,0.9665451,-0.05837216,-0.2496479);(3.1, 20.4, -0.9)
3/1/2020 2:31:37 PM;5;(0.0, 20.3, -0.1);(0.06555313,0.9139471,-0.05426263,0.3968112);(-2.8, 21.1, -2.5)
3/1/2020 2:31:48 PM;2;(-0.1, 20.3, 0.0);(-0.04564402,0.9650036,-0.05821669,-0.2515865);(0.0, 22.1, -2.6)
3/1/2020 2:31:53 PM;3;(-0.1, 20.3, -0.1);(-0.03358633,0.982542,-0.03310964,-0.1799643);(-1.2, 20.7, -2.7)
3/1/2020 2:32:08 PM;5;(-0.1, 20.3, -0.1);(-0.02389474,0.9833363,-0.01557933,-0.1795443);(-2.9, 21.2, 2.3)
3/1/2020 2:32:19 PM;5;(-0.2, 20.3, 0.0);(-0.02912107,0.6162505,-0.02273387,-0.7866833);(1.5, 21.4, 3.2)
3/1/2020 2:32:35 PM;1;(-0.1, 20.3, 0.0);(0.05171009,0.5811023,0.07866771,-0.8083674);(-3.3, 20.5, -0.7)
3/1/2020 2:32:42 PM;2;(-0.1, 20.3, 0.0);(0.003105768,0.6277853,-0.0191707,-0.7781444);(-3.4, 21.4, -0.2)
3/1/2020 2:32:56 PM;2;(-0.1, 20.3, 0.0);(-0.03939283,0.6031777,0.00420098,-0.7966226);(-2.8, 21.6, -0.4)
3/1/2020 2:33:14 PM;4;(-0.1, 20.3, 0.0);(-0.02084279,0.62411,0.009135071,-0.7810051);(1.3, 20.3, 3.5)
3/1/2020 2:33:30 PM;3;(-0.1, 20.3, 0.0);(-0.0571955,0.4954786,-0.01229052,-0.8666479);(-2.8, 20.3, 2.1)
3/1/2020 2:33:50 PM;4;(-0.3, 20.3, 0.0);(-0.06155166,0.08160372,0.01021665,-0.99471);(3.4, 20.5, 0.9)
3/1/2020 2:34:05 PM;5;(-0.2, 20.3, 0.0);(0.06483349,-0.3129777,0.08196199,-0.9439935);(1.4, 20.5, -2.6)
3/1/2020 2:34:17 PM;4;(-0.2, 20.3, 0.0);(-0.02848689,-0.3639972,-0.01797143,-0.930791);(3.4, 21.1, 0.7)
3/1/2020 2:34:28 PM;1;(-0.1, 20.3, -0.1);(-0.03648725,-0.6909245,0.03339037,-0.721233);(-1.6, 21.2, 2.8)
