Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/1/2020 2:23:54 PM;2;(-0.2, 20.3, -0.2);(-0.05007062,0.3857737,-0.02692329,-0.9208403);(-3.2, 20.1, 0.9)
3/1/2020 2:24:05 PM;3;(-0.2, 20.3, -0.2);(-0.06465375,0.3857284,-0.02931146,-0.9198774);(-1.1, 20.0, 3.0)
3/1/2020 2:24:15 PM;1;(-0.2, 20.3, -0.2);(-0.06403155,0.3769152,-0.03110536,-0.9235082);(-3.0, 20.0, -1.7)
3/1/2020 2:24:27 PM;4;(-0.2, 20.3, -0.2);(-0.01474294,0.7395556,-0.05402394,-0.670762);(-1.8, 20.0, 2.9)
3/1/2020 2:24:39 PM;2;(-0.2, 20.3, -0.1);(-0.02890983,0.3626617,-0.005321934,-0.9314571);(-3.1, 19.9, 1.1)
3/1/2020 2:24:50 PM;5;(-0.2, 20.3, -0.1);(-0.05647931,0.4183078,-0.05180782,-0.9050662);(2.1, 20.0, 2.5)
3/1/2020 2:25:00 PM;3;(-0.1, 20.3, -0.2);(-0.02793688,-0.1808411,0.02402485,-0.9828219);(1.7, 20.0, 2.6)
3/1/2020 2:25:09 PM;3;(-0.1, 20.3, -0.2);(-0.05639783,-0.2173397,0.0151397,-0.9743478);(1.6, 19.9, 2.6)
3/1/2020 2:25:17 PM;4;(-0.1, 20.3, -0.2);(-0.07610445,-0.1986133,0.004006341,-0.9771104);(2.8, 20.0, 1.5)
3/1/2020 2:25:26 PM;5;(-0.1, 20.3, -0.2);(-0.0722428,-0.2999963,-0.001484839,-0.9511998);(3.3, 20.1, -0.7)
3/1/2020 2:25:37 PM;5;(-0.1, 20.3, -0.2);(0.0109571,-0.7037968,0.01477384,-0.7101632);(0.6, 20.2, -3.7)
3/1/2020 2:25:56 PM;1;(-0.1, 20.3, -0.3);(-0.007042304,-0.9329724,0.01998173,-0.3593241);(2.6, 20.0, 1.3)
3/1/2020 2:26:06 PM;2;(-0.1, 20.3, -0.2);(-0.0117644,-0.6290586,-0.0003501736,-0.7772688);(2.6, 20.7, 1.3)
3/1/2020 2:26:16 PM;4;(-0.1, 20.3, -0.2);(-0.02487606,-0.5176651,0.003277797,-0.8552154);(3.1, 20.7, -1.1)
3/1/2020 2:26:39 PM;5;(0.0, 20.3, -0.2);(-0.003427115,-0.705386,0.003019439,-0.7088087);(1.3, 20.9, -3.3)
3/1/2020 2:27:01 PM;1;(-0.1, 20.3, -0.2);(-0.003345827,-0.9306234,-0.03254518,-0.3645129);(2.5, 20.1, 1.6)
3/1/2020 2:27:21 PM;4;(0.0, 20.3, -0.2);(-0.02815641,-0.5758423,-0.06726822,-0.8143021);(3.2, 20.2, -0.6)
3/1/2020 2:27:29 PM;1;(0.0, 20.3, -0.2);(-0.02539225,-0.573908,-0.0122476,-0.8184344);(0.3, 19.9, 3.0)
3/1/2020 2:27:56 PM;2;(0.0, 20.3, -0.2);(0.0507791,-0.1470697,0.0331032,-0.987267);(-0.9, 21.0, 2.7)
3/1/2020 2:28:17 PM;3;(0.0, 20.3, -0.1);(-0.1924409,-0.1520477,0.03138583,-0.9689494);(1.6, 20.8, 2.6)
