Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/1/2020 2:35:40 PM;3;(-0.2, 20.3, 0.0);(-0.02536382,0.2203108,-0.006214384,-0.9750801);(-1.3, 20.0, 3.0)
3/1/2020 2:35:52 PM;4;(-0.4, 20.3, 0.0);(-0.02918078,0.08593943,-0.05063746,-0.9945848);(3.5, 20.4, 0.5)
3/1/2020 2:36:03 PM;3;(-0.2, 20.3, -0.1);(-0.01577918,-0.4945989,0.02228432,-0.8686925);(2.4, 20.3, 1.7)
3/1/2020 2:36:12 PM;1;(-0.2, 20.3, -0.1);(-0.1464562,-0.5122356,0.08131564,-0.8423497);(-2.6, 20.3, 2.1)
3/1/2020 2:36:29 PM;2;(-0.3, 20.3, -0.1);(-0.01377362,0.3892269,0.03091805,-0.9205199);(-3.2, 20.4, -1.1)
3/1/2020 2:36:39 PM;1;(-0.3, 20.3, -0.1);(-0.02146166,0.6180143,-0.0055809,-0.7858541);(0.1, 20.9, -3.0)
3/1/2020 2:36:48 PM;5;(-0.3, 20.3, -0.2);(0.006330228,0.9587715,-0.03653367,-0.2817489);(-3.1, 20.3, 1.9)
3/1/2020 2:36:54 PM;2;(-0.3, 20.3, 0.0);(-0.02733454,0.6213194,-0.002941503,-0.783075);(-3.3, 20.9, -0.6)
3/1/2020 2:37:00 PM;3;(-0.3, 20.3, 0.0);(-0.03305879,0.6159647,-0.005069519,-0.7870635);(-3.3, 20.6, 0.8)
3/1/2020 2:37:05 PM;5;(-0.3, 20.3, -0.1);(-0.03208947,0.6197554,-0.01074399,-0.7840652);(0.1, 20.1, 3.5)
3/1/2020 2:37:12 PM;5;(-0.3, 20.3, 0.0);(0.00995492,0.1236389,0.02664897,-0.9919195);(3.1, 20.1, 1.1)
3/1/2020 2:37:17 PM;1;(-0.2, 20.3, 0.0);(-0.02509476,-0.3562132,0.006801148,-0.9340429);(-2.8, 20.3, 1.7)
3/1/2020 2:37:30 PM;2;(-0.3, 20.3, 0.0);(-0.00161927,0.2521316,-0.003611879,-0.9676849);(-3.2, 20.8, 0.7)
3/1/2020 2:37:35 PM;2;(-0.3, 20.3, 0.0);(-0.0006545316,0.5077026,0.0154971,-0.8613928);(-3.3, 20.8, -0.2)
3/1/2020 2:37:45 PM;4;(-0.3, 20.3, 0.0);(-0.01363119,0.6626034,-0.009600248,-0.7487851);(-1.6, 20.7, 3.0)
3/1/2020 2:37:51 PM;3;(-0.3, 20.3, 0.1);(-0.003708484,0.3009893,-0.01833727,-0.9534439);(-2.2, 19.6, 2.6)
3/1/2020 2:38:03 PM;4;(-0.2, 20.3, 0.1);(-0.02129049,0.0962236,-0.02538533,-0.9948082);(0.2, 20.1, 3.3)
3/1/2020 2:38:15 PM;5;(-0.2, 20.3, 0.1);(-0.02961266,-0.01646447,-0.03967896,-0.9986379);(2.9, 21.2, 0.7)
3/1/2020 2:38:26 PM;4;(-0.2, 20.3, 0.1);(-0.000304013,-0.3570894,0.009757819,-0.9340192);(3.0, 20.8, 0.6)
3/1/2020 2:38:40 PM;1;(-0.2, 20.3, 0.2);(-0.08660293,-0.2001887,0.02764364,-0.9755308);(-2.4, 20.2, 2.4)
