azi,test_azi,ele,test_ele,subject_id,hrtf,audio
65,72.5880734437202,73.125,-7.918999861703246,.\AssetsSubject1,est,music.txt
0,-3.6502570201528015,-16.875,-18.8350483390112,.\AssetsSubject1,est,music.txt
45,44.61661975009343,0,-4.403711810846913,.\AssetsSubject1,est,music.txt
-35,-38.670321240959844,39.375,-22.707869599653737,.\AssetsSubject1,est,music.txt
45,33.069414984157994,0,-15.927717081136628,.\AssetsSubject1,est,music.txt
45,33.9312408385679,0,-15.220434376713618,.\AssetsSubject1,est,music.txt
-80,-59.443863471214875,-22.5,-27.4566807296833,.\AssetsSubject1,est,music.txt
-80,-40.138650968365624,-22.5,-12.364116299958331,.\AssetsSubject1,est,music.txt
0,3.2654206095322937,-16.875,-12.061395619667579,.\AssetsSubject1,est,music.txt
65,84.96352508490824,73.125,-10.16414003607136,.\AssetsSubject1,est,music.txt
65,78.82302183089523,73.125,-5.383599371573729,.\AssetsSubject1,est,music.txt
65,85.09106157873929,73.125,40.4085065609716,.\AssetsSubject1,est,music.txt
0,4.834145856153225,-16.875,-13.772310055474005,.\AssetsSubject1,est,music.txt
-80,-32.32493410558026,-22.5,-16.823356850621973,.\AssetsSubject1,est,music.txt
0,3.288548255810549,-16.875,-12.507000840832191,.\AssetsSubject1,est,music.txt
-35,-20.035834215711596,39.375,-13.289325931973755,.\AssetsSubject1,est,music.txt
-35,-17.496262921077058,39.375,-15.002809190246449,.\AssetsSubject1,est,music.txt
-35,-19.40305699501294,39.375,-14.800745700062619,.\AssetsSubject1,est,music.txt
45,33.841744127256966,0,-9.789545780094073,.\AssetsSubject1,est,music.txt
-80,-42.76255680975113,-22.5,-20.69090549576973,.\AssetsSubject1,est,music.txt
-35,-27.62428510067737,39.375,-9.753845181517038,.\AssetsSubject1,est,noise.txt
65,67.78041708043148,73.125,37.01594388364957,.\AssetsSubject1,est,noise.txt
45,36.64663141592178,0,6.04053118249578,.\AssetsSubject1,est,noise.txt
0,-2.2392490432166308,-16.875,-15.433614604766815,.\AssetsSubject1,est,noise.txt
-35,-11.275280246725881,39.375,-11.010142270709427,.\AssetsSubject1,est,noise.txt
45,66.57775965444672,0,9.451083464200117,.\AssetsSubject1,est,noise.txt
0,1.1857671985319194,-16.875,-15.304013511990442,.\AssetsSubject1,est,noise.txt
45,66.39313374327297,0,21.953730939894808,.\AssetsSubject1,est,noise.txt
65,76.37834597303069,73.125,31.629286866828117,.\AssetsSubject1,est,noise.txt
0,9.652152361777327,-16.875,-11.093796284154543,.\AssetsSubject1,est,noise.txt
-80,-31.787445843622862,-22.5,-16.79714573421505,.\AssetsSubject1,est,noise.txt
65,81.66304335763117,73.125,62.59498310473855,.\AssetsSubject1,est,noise.txt
-80,-63.18328516507115,-22.5,20.766273997597686,.\AssetsSubject1,est,noise.txt
45,44.97691069147197,0,-11.868020861099124,.\AssetsSubject1,est,noise.txt
-35,-17.64507310888938,39.375,-9.027399798618388,.\AssetsSubject1,est,noise.txt
-80,-42.40812522667837,-22.5,-13.082706041095342,.\AssetsSubject1,est,noise.txt
-35,-16.559954621315946,39.375,-0.9549330886678757,.\AssetsSubject1,est,noise.txt
-80,-44.398169825020204,-22.5,-17.063942472615615,.\AssetsSubject1,est,noise.txt
