Login date;Stimuli Location;Head Position;Head Rotation;Point Location
2/6/2020 2:16:10 PM;4;(0.5, 20.3, 0.1);(0.003339962,-0.005763956,0.01634272,-0.9998444);(3.6, 19.8, 1.4)
2/6/2020 2:16:16 PM;3;(0.5, 20.3, 0.1);(0.002076196,-0.02279618,0.04058018,-0.9989141);(0.0, 19.7, 3.4)
2/6/2020 2:16:44 PM;4;(0.5, 20.3, 0.1);(0.01983507,-0.01142239,0.02096463,-0.9995183);(3.9, 19.9, -0.3)
2/6/2020 2:16:50 PM;3;(0.5, 20.3, 0.1);(0.04882846,-0.02777128,0.05793395,-0.9967389);(-0.2, 19.7, 3.3)
2/6/2020 2:16:58 PM;2;(0.5, 20.3, 0.1);(0.03534912,-0.02254753,0.04103331,-0.9982777);(-1.8, 20.0, 2.3)
2/6/2020 2:17:03 PM;4;(0.5, 20.3, 0.1);(0.01918352,-0.009574247,0.03801321,-0.9990473);(3.5, 19.9, 1.7)
2/6/2020 2:17:06 PM;3;(0.5, 20.3, 0.1);(0.03493503,-0.02558432,0.04389874,-0.9980972);(0.4, 19.7, 3.4)
2/6/2020 2:17:10 PM;1;(0.5, 20.3, 0.1);(0.03404112,-0.03407836,0.03984878,-0.9980441);(-2.5, 20.0, 0.5)
2/6/2020 2:17:16 PM;3;(0.5, 20.3, 0.1);(0.005933642,0.007913964,0.01828942,-0.9997838);(0.2, 19.7, 3.4)
2/6/2020 2:17:27 PM;5;(0.5, 20.3, 0.1);(-0.01185794,0.0002751577,-0.02085139,0.9997122);(3.8, 19.8, 1.1)
2/6/2020 2:17:32 PM;4;(0.5, 20.3, 0.1);(0.02015087,-0.008189815,0.02633413,-0.9994165);(2.8, 21.1, 2.1)
2/6/2020 2:17:40 PM;5;(0.5, 20.3, 0.1);(0.01529714,-0.01145492,0.01833136,-0.9996494);(3.8, 20.5, 0.5)
2/6/2020 2:17:45 PM;1;(0.5, 20.3, 0.1);(0.03218496,-0.02181649,0.0288506,-0.9988272);(-2.5, 20.0, 0.6)
2/6/2020 2:17:50 PM;5;(0.5, 20.3, 0.1);(0.02054147,0.02613075,-0.0180996,-0.9992836);(3.4, 21.0, 1.4)
2/6/2020 2:18:02 PM;5;(0.5, 20.3, 0.1);(0.03684636,-0.0239895,0.02371731,-0.9987514);(3.8, 20.3, 1.0)
2/6/2020 2:18:21 PM;1;(0.5, 20.3, 0.1);(0.02736133,-0.02410921,0.02599079,-0.9989968);(-2.5, 19.9, 0.1)
2/6/2020 2:18:26 PM;1;(0.5, 20.3, 0.1);(0.02203402,0.01361561,0.01614207,-0.9995344);(-2.5, 19.8, 0.2)
2/6/2020 2:18:37 PM;2;(0.5, 20.3, 0.1);(0.01484071,0.007769134,0.02419056,-0.9995672);(-0.9, 19.7, 3.0)
2/6/2020 2:18:41 PM;2;(0.5, 20.3, 0.1);(0.01414053,0.006681433,0.02351831,-0.999601);(-0.6, 19.8, 3.1)
2/6/2020 2:18:45 PM;2;(0.5, 20.3, 0.1);(0.01465103,0.00655165,0.02311407,-0.999604);(-0.7, 19.7, 3.1)
