Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/13/2020 3:53:49 PM;3;(-0.1, 20.3, 0.0);(-0.109277,0.005089544,-0.002152399,-0.993996);(0.0, 19.6, 3.1)
3/13/2020 3:54:06 PM;1;(-0.1, 20.4, 0.0);(-0.1052083,0.02024564,-0.02049702,-0.9940329);(-3.1, 20.3, -0.2)
3/13/2020 3:54:16 PM;1;(-0.1, 20.4, -0.1);(-0.08012945,-0.001750019,-0.008455137,-0.9967471);(-3.1, 20.3, -0.3)
3/13/2020 3:54:31 PM;5;(-0.1, 20.4, -0.1);(-0.0635674,-0.02406625,-0.005672344,-0.9976712);(3.2, 19.6, -0.3)
3/13/2020 3:54:42 PM;2;(-0.1, 20.4, 0.0);(-0.04712004,-0.005464145,0.004877996,-0.9988624);(-1.5, 20.9, -2.4)
3/13/2020 3:54:57 PM;5;(-0.1, 20.4, 0.0);(-0.05463385,0.01018894,-0.02027718,-0.9982486);(3.2, 20.0, -0.4)
3/13/2020 3:55:07 PM;5;(-0.1, 20.4, 0.0);(-0.08109581,0.001586415,0.001406076,-0.996704);(3.3, 19.6, -0.1)
3/13/2020 3:55:27 PM;1;(-0.1, 20.4, 0.0);(-0.07032004,0.01055003,0.00620295,-0.9974495);(-3.0, 20.3, -0.3)
3/13/2020 3:55:43 PM;3;(-0.1, 20.4, -0.1);(-0.06092831,0.01817592,-0.006687244,-0.9979543);(0.0, 19.6, 3.1)
3/13/2020 3:55:56 PM;2;(-0.1, 20.3, -0.1);(0.05662195,-0.07742632,0.02083689,0.9951709);(-2.1, 20.4, -2.2)
3/13/2020 3:56:07 PM;2;(-0.1, 20.4, -0.1);(-0.0153046,0.05155664,0.001406492,-0.9985519);(-2.0, 20.9, -2.1)
3/13/2020 3:56:25 PM;2;(-0.1, 20.4, 0.0);(-0.05428957,0.02719857,-0.009110158,-0.9981131);(-1.9, 20.2, -2.4)
3/13/2020 3:56:38 PM;4;(-0.1, 20.4, 0.0);(-0.049731,0.02227506,-0.009685222,-0.9984673);(1.9, 19.9, -2.8)
3/13/2020 3:56:51 PM;3;(-0.1, 20.4, -0.1);(-0.02676148,0.02723609,-0.01027868,-0.999218);(-0.1, 19.7, 3.1)
3/13/2020 3:57:11 PM;4;(-0.1, 20.4, 0.0);(-0.0323124,0.1964962,0.01114604,-0.9799087);(3.0, 20.3, -1.4)
3/13/2020 3:57:21 PM;5;(-0.1, 20.4, -0.1);(-0.02048983,-0.01571454,-0.008778084,-0.9996281);(3.3, 19.8, 0.1)
3/13/2020 3:57:31 PM;1;(-0.1, 20.4, -0.1);(-0.02620416,0.14631,-0.01485216,-0.9887803);(-3.0, 20.1, -0.3)
3/13/2020 3:57:37 PM;4;(-0.1, 20.4, -0.1);(-0.03213501,-0.008754127,0.01373604,-0.9993508);(2.6, 20.1, -2.2)
3/13/2020 3:57:44 PM;4;(-0.1, 20.4, -0.1);(-0.06917785,0.09618118,-0.01951777,-0.9927651);(2.3, 19.8, -2.6)
3/13/2020 3:57:50 PM;3;(-0.1, 20.4, -0.1);(-0.06496002,0.05837461,-0.0005146703,-0.9961789);(0.1, 19.7, 3.1)
