Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/13/2020 3:59:32 PM;1;(-0.1, 20.4, -0.1);(-0.07131557,0.02469383,-0.003085671,-0.9971434);(-2.9, 20.3, -0.9)
3/13/2020 3:59:39 PM;4;(-0.1, 20.4, -0.1);(-0.06199251,-0.003080311,-0.01153058,-0.9980053);(2.9, 20.6, -1.8)
3/13/2020 3:59:54 PM;1;(-0.1, 20.4, -0.1);(-0.05840138,-0.01949569,0.0001402324,-0.9981028);(-3.1, 20.3, -0.1)
3/13/2020 4:00:13 PM;2;(0.0, 20.4, 0.0);(-0.05696954,0.1040342,0.04052647,-0.9921135);(-1.8, 20.4, -2.5)
3/13/2020 4:00:19 PM;1;(-0.1, 20.4, 0.0);(-0.05335088,-0.07670453,0.009668387,-0.9955785);(-3.0, 20.1, -0.4)
3/13/2020 4:00:29 PM;5;(-0.1, 20.4, 0.0);(-0.06600256,0.07634912,-0.007794905,-0.9948637);(3.1, 19.7, -1.2)
3/13/2020 4:00:34 PM;5;(-0.1, 20.4, -0.1);(-0.04853873,0.07250739,-0.005270191,-0.9961721);(3.3, 19.8, -0.3)
3/13/2020 4:00:37 PM;3;(-0.1, 20.4, -0.1);(-0.05071971,0.06834622,-0.007510319,-0.9963434);(0.2, 19.7, 3.1)
3/13/2020 4:00:47 PM;4;(-0.1, 20.4, -0.1);(-0.03366051,-0.02782277,-0.006811071,-0.9990228);(2.8, 21.7, -1.0)
3/13/2020 4:00:55 PM;5;(-0.1, 20.4, 0.0);(-0.05875843,0.06790169,-0.01881933,-0.9957826);(3.3, 19.6, -0.3)
3/13/2020 4:01:07 PM;2;(0.0, 20.4, -0.1);(-0.02900524,0.1025973,0.01756067,-0.994145);(-1.1, 21.3, -2.7)
3/13/2020 4:01:20 PM;2;(0.0, 20.4, -0.1);(-0.007817072,0.128883,0.02426365,-0.9913322);(-1.6, 20.4, -2.7)
3/13/2020 4:01:29 PM;4;(-0.1, 20.4, -0.1);(-0.02842785,0.01811143,-0.01979676,-0.9992358);(1.6, 20.3, -2.9)
3/13/2020 4:01:36 PM;3;(-0.1, 20.4, 0.0);(-0.07387465,-0.01574612,0.006983506,-0.9971188);(0.0, 20.0, 3.0)
3/13/2020 4:01:46 PM;5;(-0.1, 20.4, 0.0);(-0.08072931,-0.09958425,-0.009008478,-0.9917079);(3.3, 19.7, -0.6)
3/13/2020 4:01:58 PM;1;(-0.1, 20.4, 0.0);(-0.08956413,0.02711026,0.004771724,-0.9956006);(-3.0, 20.2, -0.9)
3/13/2020 4:02:09 PM;4;(-0.1, 20.4, -0.1);(-0.06241277,0.01779999,-0.01522941,-0.9977755);(2.1, 21.0, -2.3)
3/13/2020 4:02:20 PM;2;(0.0, 20.4, -0.1);(-0.05586376,-0.04769703,0.04824473,-0.996131);(-1.5, 20.9, -2.7)
3/13/2020 4:02:26 PM;3;(-0.1, 20.4, 0.0);(-0.07431975,-0.01049078,-0.001744799,-0.9971778);(0.0, 19.6, 3.1)
3/13/2020 4:02:32 PM;3;(-0.1, 20.4, -0.1);(-0.08429064,-0.02485331,-0.01928041,-0.9959447);(0.1, 19.5, 3.1)
