Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/13/2020 3:20:42 PM;5;(-0.1, 20.4, -0.1);(-0.06377281,-0.01856169,0.008552311,-0.9977552);(3.2, 20.1, 0.4)
3/13/2020 3:20:51 PM;3;(-0.1, 20.3, -0.1);(-0.1035445,0.02682849,0.01696575,-0.9941182);(0.1, 19.6, 3.0)
3/13/2020 3:21:08 PM;2;(-0.1, 20.4, -0.2);(-0.09210761,-0.0228962,0.001680289,-0.9954845);(-2.8, 18.8, -0.9)
3/13/2020 3:21:17 PM;3;(-0.2, 20.4, -0.2);(-0.09784461,-0.02819558,0.02503543,-0.9944871);(0.1, 19.5, 3.0)
3/13/2020 3:21:28 PM;5;(-0.1, 20.4, -0.1);(-0.1023022,-0.02393312,0.01672947,-0.9943248);(3.1, 20.3, -0.8)
3/13/2020 3:21:39 PM;2;(-0.1, 20.4, -0.1);(-0.1254238,-0.008853827,0.007193414,-0.9920377);(-3.0, 20.3, -0.9)
3/13/2020 3:21:56 PM;2;(-0.1, 20.4, -0.1);(-0.06935043,-0.0002461076,0.005959867,-0.9975745);(-2.7, 20.2, -1.5)
3/13/2020 3:22:08 PM;1;(-0.1, 20.4, -0.1);(-0.06419133,-0.005320738,-0.01634332,-0.9977897);(-3.0, 20.1, 0.2)
3/13/2020 3:22:22 PM;4;(-0.1, 20.4, -0.1);(-0.07193357,-0.008463021,-0.005977087,-0.9973557);(2.6, 20.1, -1.9)
3/13/2020 3:22:44 PM;4;(-0.1, 20.4, -0.1);(-0.07071105,-0.01147667,-0.001606728,-0.9974295);(1.2, 19.6, -3.0)
3/13/2020 3:22:57 PM;5;(-0.1, 20.4, -0.2);(-0.0527791,-0.005001307,-0.01112438,-0.9985318);(2.8, 20.9, -1.0)
3/13/2020 3:23:11 PM;4;(-0.1, 20.4, -0.1);(-0.02221032,0.01458898,-0.01981823,-0.9994504);(2.3, 18.8, -1.7)
3/13/2020 3:23:28 PM;1;(-0.1, 20.4, -0.2);(-0.01481792,-0.02964162,0.002538685,-0.9994476);(-3.1, 19.8, -0.1)
3/13/2020 3:23:38 PM;1;(-0.1, 20.4, -0.1);(-0.09045859,-0.005861771,-0.008515102,-0.9958467);(-2.9, 19.6, 0.9)
3/13/2020 3:23:45 PM;3;(-0.1, 20.4, -0.1);(-0.08136895,-0.04169675,0.02496085,-0.9954987);(0.2, 19.6, 2.9)
3/13/2020 3:23:57 PM;1;(-0.1, 20.4, -0.1);(-0.09221634,0.027846,-0.01352264,-0.9952579);(-3.0, 19.6, 0.4)
3/13/2020 3:24:17 PM;2;(-0.1, 20.4, -0.1);(-0.05579679,-0.01791352,0.00778316,-0.9982511);(-2.7, 19.7, -1.5)
3/13/2020 3:24:31 PM;3;(-0.1, 20.3, -0.1);(-0.07874437,0.007354458,-0.02535443,-0.9965454);(0.0, 19.5, 3.0)
3/13/2020 3:24:51 PM;4;(-0.2, 20.3, -0.1);(-0.08616895,-0.02356426,-0.01521604,-0.9958856);(0.8, 19.7, -3.2)
3/13/2020 3:25:00 PM;5;(-0.1, 20.4, -0.1);(-0.07971313,-0.02048829,-0.01267039,-0.9965267);(3.2, 19.6, -0.5)
