Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/13/2020 3:27:51 PM;2;(0.0, 20.3, -0.1);(-0.1279854,-0.02242916,-0.01064825,-0.9914653);(-3.0, 20.7, -0.3)
3/13/2020 3:28:05 PM;2;(-0.1, 20.3, -0.1);(-0.06518535,0.002971448,-0.02695317,-0.9975047);(-3.1, 19.7, 0.1)
3/13/2020 3:28:25 PM;2;(-0.1, 20.3, -0.1);(-0.05446718,-0.02031793,-0.009936857,-0.9982594);(-2.3, 20.3, -2.1)
3/13/2020 3:30:02 PM;2;(0.0, 20.4, -0.1);(-0.05143157,0.04857871,-0.01228791,-0.9974186);(-1.4, 20.5, -2.6)
3/13/2020 3:30:19 PM;4;(0.0, 20.4, -0.1);(-0.02916919,0.03818062,-0.02449096,-0.9985448);(2.2, 20.3, -2.4)
3/13/2020 3:30:35 PM;5;(0.0, 20.4, -0.1);(-0.0287077,0.007422834,-0.00853491,-0.9995238);(3.3, 20.2, -0.3)
3/13/2020 3:30:42 PM;3;(0.0, 20.4, -0.1);(-0.09234223,0.03833187,0.007235508,-0.994963);(0.0, 20.0, 3.0)
3/13/2020 3:30:47 PM;1;(0.0, 20.4, -0.1);(-0.06276085,-0.0379168,0.0002684447,-0.9973081);(-3.0, 20.2, 0.3)
3/13/2020 3:30:59 PM;1;(-0.1, 20.4, -0.1);(-0.04981625,-0.05634922,-0.1921554,-0.9784781);(-3.0, 20.0, 0.5)
3/13/2020 3:31:11 PM;5;(0.0, 20.4, 0.0);(-0.06379429,-0.1141519,-0.03587348,-0.9907637);(2.9, 20.1, -1.4)
3/13/2020 3:31:23 PM;4;(0.0, 20.4, -0.1);(-0.1216836,-0.3140309,0.0469875,-0.9404095);(3.1, 19.3, 0.5)
3/13/2020 3:31:36 PM;4;(-0.1, 20.4, -0.1);(-0.08353303,0.03375357,-0.001512713,-0.995932);(3.2, 19.2, 0.1)
3/13/2020 3:31:54 PM;4;(-0.1, 20.4, -0.1);(-0.06772062,0.04788013,-0.009695007,-0.9965076);(3.1, 19.5, -1.1)
3/13/2020 3:32:00 PM;3;(-0.1, 20.4, -0.1);(-0.04038538,0.05766882,0.01081471,-0.9974601);(0.0, 19.5, 3.0)
3/13/2020 3:32:12 PM;1;(0.0, 20.4, -0.1);(-0.04914923,-0.02330413,-0.07539797,-0.9956689);(-3.0, 20.0, 0.3)
3/13/2020 3:32:18 PM;5;(-0.1, 20.4, -0.1);(-0.07635595,-0.006870003,-0.008874792,-0.9970175);(3.3, 20.2, -0.5)
3/13/2020 3:32:32 PM;3;(-0.1, 20.4, -0.1);(-0.08140689,0.01680025,-0.018519,-0.9963674);(-0.1, 20.8, -3.0)
3/13/2020 3:32:40 PM;1;(0.0, 20.3, -0.1);(-0.09572239,0.008345734,0.005314946,-0.9953589);(-2.9, 20.8, -0.4)
3/13/2020 3:32:47 PM;5;(0.0, 20.4, -0.1);(-0.0542979,-0.08930315,-0.01615182,-0.9943922);(3.0, 20.4, -1.3)
3/13/2020 3:32:54 PM;3;(0.0, 20.4, 0.0);(-0.08260583,0.07384048,-0.02299223,-0.993577);(0.1, 19.8, 3.1)
