Login date;Stimuli Location;Head Position;Head Rotation;Point Location
3/13/2020 4:05:17 PM;3;(-0.1, 20.4, 0.0);(-0.06803336,-0.009225111,-0.001054221,-0.99764);(0.0, 19.8, -3.4)
3/13/2020 4:05:26 PM;2;(-0.1, 20.4, -0.1);(-0.06911141,-0.005318407,-0.01897413,-0.9974144);(-2.8, 21.1, -0.3)
3/13/2020 4:05:36 PM;1;(-0.1, 20.4, 0.0);(-0.04223173,0.02071847,-0.008599709,-0.9988561);(-2.8, 20.7, -1.0)
3/13/2020 4:05:51 PM;1;(-0.1, 20.4, 0.0);(-0.03067227,0.00275617,-0.002353768,-0.999523);(-2.9, 20.4, 0.9)
3/13/2020 4:05:58 PM;5;(-0.1, 20.4, 0.0);(-0.0539669,-0.001866334,0.004269177,-0.9985319);(3.2, 20.3, -0.8)
3/13/2020 4:06:12 PM;2;(-0.1, 20.4, -0.1);(-0.03297107,-0.02882109,0.02025461,-0.9988353);(-2.5, 21.3, -1.4)
3/13/2020 4:06:26 PM;3;(-0.1, 20.3, -0.1);(-0.03015479,0.03735095,-0.01436636,-0.998744);(0.1, 19.5, 3.0)
3/13/2020 4:06:37 PM;2;(-0.1, 20.4, -0.1);(-0.02679564,-0.05684822,0.04123691,-0.997171);(-2.1, 20.9, -2.1)
3/13/2020 4:06:52 PM;3;(-0.1, 20.4, 0.0);(-0.06739768,0.002845445,0.01311141,-0.997636);(0.0, 19.5, 3.1)
3/13/2020 4:06:59 PM;4;(-0.1, 20.4, -0.1);(-0.058152,0.005346997,0.002409698,-0.9982905);(2.3, 21.3, -2.3)
3/13/2020 4:07:18 PM;5;(-0.1, 20.4, 0.0);(-0.03190687,0.05751941,0.02796907,-0.9974424);(3.2, 20.0, -0.6)
3/13/2020 4:07:32 PM;5;(-0.1, 20.4, -0.1);(-0.01952654,0.01150193,0.02250408,-0.99949);(3.3, 20.1, 0.4)
3/13/2020 4:07:45 PM;3;(-0.1, 20.4, -0.1);(-0.01007848,0.01973714,-0.002390108,-0.9997516);(0.2, 19.6, 3.1)
3/13/2020 4:07:54 PM;4;(-0.1, 20.4, 0.0);(-0.03412125,0.004224329,0.001694136,-0.9994074);(1.4, 21.2, -2.8)
3/13/2020 4:08:03 PM;2;(-0.1, 20.4, 0.0);(-0.05797965,0.02250804,0.002236103,-0.9980615);(-2.3, 21.3, -1.7)
3/13/2020 4:08:16 PM;1;(-0.1, 20.4, 0.0);(-0.05420043,0.02006504,-0.003721512,-0.9983217);(-3.1, 20.0, 0.4)
3/13/2020 4:08:30 PM;4;(-0.1, 20.4, 0.0);(-0.04342069,-0.04588547,-0.005840958,-0.9979855);(3.1, 20.0, -1.1)
3/13/2020 4:08:45 PM;5;(-0.1, 20.4, -0.1);(-0.03501196,-0.00635819,-0.01317086,-0.9992799);(3.3, 20.0, -0.4)
3/13/2020 4:08:54 PM;1;(-0.1, 20.4, -0.1);(-0.02844927,0.05869265,-0.0005545003,-0.9978705);(-3.1, 20.1, 0.3)
3/13/2020 4:09:03 PM;4;(-0.1, 20.4, 0.0);(-0.04585141,-0.04055453,-0.000337403,-0.9981247);(2.7, 20.9, -2.0)
