subject_id,Set#,hrtf,audio,azi,ele,Location,Trail #,azi_error,azi_error,ele_error,ele_error,Azi,Location 
2,2,est,music,-35,39.375,B,4,3.445869782,3.445869782,-30.80966408,30.80966408,,
2,2,est,music,0,-16.875,C,4,-1.356642214,1.356642214,-63.40593122,63.40593122,,
2,1,generic,noise,0,-16.875,C,1,-5.739787484,5.739787484,-68.70576761,68.70576761,,
2,1,generic,noise,-80,-22.5,A,1,-78.64671118,78.64671118,-33.81471017,33.81471017,,
2,1,generic,noise,-80,-22.5,A,2,-29.33431061,29.33431061,-50.47972972,50.47972972,,
2,1,generic,noise,65,73.125,E,1,11.55265008,11.55265008,3.947306721,3.947306721,,
2,1,generic,noise,-80,-22.5,A,3,-15.0109425,15.0109425,-94.89925957,94.89925957,,
2,1,generic,noise,0,-16.875,C,2,-2.377954215,2.377954215,-47.84941689,47.84941689,,
2,1,generic,noise,45,0,D,1,-1.927733502,1.927733502,-88.73923035,88.73923035,,
2,1,generic,noise,-35,39.375,B,1,-3.475774978,3.475774978,-23.29683172,23.29683172,,
2,1,generic,noise,45,0,D,2,-9.17371964,9.17371964,-75.12074896,75.12074896,,
2,1,generic,noise,-35,39.375,B,2,5.350442057,5.350442057,-32.53972804,32.53972804,,
2,1,generic,noise,65,73.125,E,2,-7.103448565,7.103448565,5.965020446,5.965020446,,
2,1,generic,noise,65,73.125,E,3,-2.663048071,2.663048071,4.534997556,4.534997556,,
2,1,generic,noise,45,0,D,3,-8.599838065,8.599838065,-50.90967582,50.90967582,,
2,1,generic,noise,0,-16.875,C,3,-2.747356944,2.747356944,-39.469567,39.469567,,
2,1,generic,noise,-35,39.375,B,3,1.187269332,1.187269332,-35.05574181,35.05574181,,
2,1,generic,noise,45,0,D,4,-18.44657688,18.44657688,-87.95657846,87.95657846,,
2,1,generic,noise,-35,39.375,B,4,15.49795177,15.49795177,-29.09356077,29.09356077,,
2,1,generic,noise,0,-16.875,C,4,-10.23047602,10.23047602,-47.82121294,47.82121294,,
2,1,generic,noise,-80,-22.5,A,4,-19.04566454,19.04566454,-76.61846672,76.61846672,,
2,1,generic,noise,65,73.125,E,4,13.39626473,13.39626473,14.07839978,14.07839978,,
2,1,generic,music,65,73.125,E,1,-10.23737733,10.23737733,31.04280161,31.04280161,,
2,1,generic,music,45,0,D,1,-5.8894797,5.8894797,-38.44279071,38.44279071,,
2,1,generic,music,65,73.125,E,2,-14.50902679,14.50902679,17.86576655,17.86576655,,
2,1,generic,music,-35,39.375,B,1,16.32403369,16.32403369,-25.97684292,25.97684292,,
2,1,generic,music,0,-16.875,C,1,-3.898586819,3.898586819,-27.27785645,27.27785645,,
2,1,generic,music,45,0,D,2,-5.134957451,5.134957451,-35.04415613,35.04415613,,
2,1,generic,music,-80,-22.5,A,1,5.368211428,5.368211428,-26.31675742,26.31675742,,
2,1,generic,music,45,0,D,3,-13.67316795,13.67316795,-49.00194903,49.00194903,,
2,1,generic,music,-80,-22.5,A,2,-4.811921709,4.811921709,-27.33353788,27.33353788,,
2,1,generic,music,-35,39.375,B,2,6.865152989,6.865152989,-22.91132535,22.91132535,,
2,1,generic,music,-80,-22.5,A,3,-9.394232594,9.394232594,-101.8560503,101.8560503,,
2,1,generic,music,-35,39.375,B,3,-3.139972026,3.139972026,-11.56836461,11.56836461,,
2,1,generic,music,0,-16.875,C,2,-2.035487636,2.035487636,-33.15985885,33.15985885,,
2,1,generic,music,-35,39.375,B,4,7.011281432,7.011281432,-19.58208308,19.58208308,,
2,1,generic,music,65,73.125,E,3,-10.65429445,10.65429445,8.445423131,8.445423131,,
2,1,generic,music,-80,-22.5,A,4,-1.995853131,1.995853131,-80.66743551,80.66743551,,
2,1,generic,music,0,-16.875,C,3,-2.513448976,2.513448976,-49.04895899,49.04895899,,
2,1,generic,music,0,-16.875,C,4,-3.631105511,3.631105511,-22.15496146,22.15496146,,
2,1,generic,music,45,0,D,4,-12.59220158,12.59220158,-65.67112112,65.67112112,,
2,1,generic,music,65,73.125,E,4,11.52904091,11.52904091,42.82668598,42.82668598,,
